cluster,label,n_phrases,n_speeches,members
98,Reimbursement of private transport expenses,2,1,Reimbursement of private transport expenses; Transport costs for medical treatment
99,Dental X-ray examinations,4,1,Dental X-ray examinations; Dental X-ray services; Dental examinations; Dental health diagnostics
103,Global fund funding for health initiatives,2,1,Global fund funding for health initiatives; International health funding
75,Crisis intervention,3,1,Crisis intervention; Crisis intervention and support services; Crisis intervention teams
57,Soldier education,2,1,Soldier education; Soldier welfare
66,Cord Blood Donation,3,1,Cord Blood Donation; Cord blood banking; cord blood donation
68,NHS Staff Suspension,2,1,Mental health professional suspensions; NHS Staff Suspension
283,Optical treatment,2,1,Optical treatment; Optical treatment funding
289,Hospital supplies,2,1,Healthcare equipment supply; Hospital supplies
294,mental deficiency hospitals,2,1,Mental deficiency care; mental deficiency hospitals
295,VAT treatment of agency staff,2,1,VAT treatment in healthcare staffing; VAT treatment of agency staff
300,hospital staffing regulations,3,1,Regulations affecting healthcare workers; hospital staffing regulations; nursing staff coverage in health regulations
306,Clinical priorities,2,1,Clinical priorities; clinical priorities
312,Medical practice ownership and sale,2,1,Medical practice ownership and sale; Medical practice partnerships and ownership
322,management oversight in social services,2,1,Management failures in social services; management oversight in social services
332,Accident & Emergency services,2,1,Accident & Emergency services; Accident and emergency services
40,Medical error reporting,3,1,Disciplinary proceedings for medical errors; Medical Error Reporting; Medical error reporting
48,NHS dental workforce shortages,4,1,Dental workforce shortages; Dentist staffing; NHS career attraction for dentists; NHS dental workforce shortages
55,Baths/home equipment,2,1,Baths/home equipment; Housing equipment and supplies
26,State vs. private pension provision,2,1,Pension Schemes; State vs. private pension provision
29,Addiction services,3,1,Addiction services; Substance Abuse Treatment; mental health and addiction
31,Advance care planning,4,1,Advance care planning; Documentation and validity of advance decisions; advance care planning; clinical documentation of patient wishes
336,Veterans' health,2,1,Veterans' health; veterans' illnesses
337,Mental health treatment in the community,3,1,Community treatment orders; Inpatient vs community treatment; Mental health treatment in the community
338,Learning disability nursing,4,1,Learning disability care; Learning disability nursing; Learning disability nursing crisis; Learning disability nursing shortages
339,Public sector salaries,2,1,Public official salaries in social care; Public sector salaries
340,Health extension programs,2,1,Health extension programmes; Health extension programs
341,family separation,3,1,Family separation; family separation; family separation in care settings
342,patient capacity and decision-making,2,1,Patient capacity; patient capacity and decision-making
344,End-of-life care,3,1,Clinician responsibilities in end-of-life care; End-of-life care; end-of-life care
361,screening in pharmacies,3,1,Pharmacy-based screening; pharmacy screening; screening in pharmacies
364,health spending as percentage of GDP,2,1,GDP as percentage of health spend; health spending as percentage of GDP
378,Suicidal intent vs. refusal of treatment,2,1,Suicidal intent vs. refusal of treatment; suicide intent and treatment refusal
6,Distribution of health information through clinics and online,3,1,Digital health information access; Distribution of health information materials; Distribution of health information through clinics and online
0,pharmacy contractual framework,2,1,Pharmacy services; pharmacy contractual framework
462,emergency care demand,2,1,Emergency care demand; emergency care demand
464,Prevention in care services,2,1,Prevention in care; Prevention in care services
465,Appeals and legal rights for doctors,2,1,Appeals and legal rights for doctors; Legal rights and appeals for doctors
